codigo_provincia;codigo_canton;codigo_parroquia;codigo_parroquia_total;nombre_provincia;nombre_canton;nombre_parroquia
01;01;50;010150;AZUAY;CUENCA;CUENCA
01;01;51;010151;AZUAY;CUENCA;BA¥OS
01;01;52;010152;AZUAY;CUENCA;CUMBE
01;01;53;010153;AZUAY;CUENCA;CHAUCHA
01;01;54;010154;AZUAY;CUENCA;CHECA (JIDCAY)
01;01;55;010155;AZUAY;CUENCA;CHIQUINTAD
01;01;56;010156;AZUAY;CUENCA;LLACAO
01;01;57;010157;AZUAY;CUENCA;MOLLETURO
01;01;58;010158;AZUAY;CUENCA;NULTI
01;01;59;010159;AZUAY;CUENCA;OCTAVIO CORDERO PALACIOS (SANTA ROSA)
01;01;60;010160;AZUAY;CUENCA;PACCHA
01;01;61;010161;AZUAY;CUENCA;QUINGEO
01;01;62;010162;AZUAY;CUENCA;RICAURTE
01;01;63;010163;AZUAY;CUENCA;SAN JOAQUIN
01;01;64;010164;AZUAY;CUENCA;SANTA ANA
01;01;65;010165;AZUAY;CUENCA;SAYAUSI
01;01;66;010166;AZUAY;CUENCA;SIDCAY
01;01;67;010167;AZUAY;CUENCA;SININCAY
01;01;68;010168;AZUAY;CUENCA;TARQUI
01;01;69;010169;AZUAY;CUENCA;TURI
01;01;70;010170;AZUAY;CUENCA;VALLE
01;01;71;010171;AZUAY;CUENCA;VICTORIA DEL PORTETE (IRQUIS)
01;02;50;010250;AZUAY;GIRON;GIRON
01;02;51;010251;AZUAY;GIRON;ASUNCION
01;02;52;010252;AZUAY;GIRON;SAN GERARDO
01;03;50;010350;AZUAY;GUALACEO;GUALACEO
01;03;52;010352;AZUAY;GUALACEO;DANIEL CORDOVA TORAL (EL ORIENTE)
01;03;53;010353;AZUAY;GUALACEO;JADAN
01;03;54;010354;AZUAY;GUALACEO;MARIANO MORENO
01;03;56;010356;AZUAY;GUALACEO;REMIGIO CRESPO TORAL (GULAG)
01;03;57;010357;AZUAY;GUALACEO;SAN JUAN
01;03;58;010358;AZUAY;GUALACEO;ZHIDMAD
01;03;59;010359;AZUAY;GUALACEO;LUIS CORDERO VEGA
01;03;60;010360;AZUAY;GUALACEO;SIMON BOLIVAR (CAB. EN GA¥ANZOL)
01;04;50;010450;AZUAY;NABON;NABON
01;04;51;010451;AZUAY;NABON;COCHAPATA
01;04;52;010452;AZUAY;NABON;EL PROGRESO (CAB.EN ZHOTA)
01;04;53;010453;AZUAY;NABON;LAS NIEVES (CHAYA)
01;05;50;010550;AZUAY;PAUTE;PAUTE
01;05;52;010552;AZUAY;PAUTE;BULAN (JOSE VICTOR IZQUIERDO)
01;05;53;010553;AZUAY;PAUTE;CHICAN (GUILLERMO ORTEGA)
01;05;54;010554;AZUAY;PAUTE;EL CABO
01;05;56;010556;AZUAY;PAUTE;GUARAINAG
01;05;59;010559;AZUAY;PAUTE;SAN CRISTOBAL (CARLOS ORDO¥EZ LAZO)
01;05;61;010561;AZUAY;PAUTE;TOMEBAMBA
01;05;62;010562;AZUAY;PAUTE;DUG DUG
01;06;50;010650;AZUAY;PUCARA;PUCARA
01;06;52;010652;AZUAY;PUCARA;SAN RAFAEL DE SHARUG
01;07;50;010750;AZUAY;SAN FERNANDO;SAN FERNANDO
01;07;51;010751;AZUAY;SAN FERNANDO;CHUMBLIN
01;08;50;010850;AZUAY;SANTA ISABEL;SANTA ISABEL
01;08;51;010851;AZUAY;SANTA ISABEL;ABDON CALDERON (LA UNION)
01;08;52;010852;AZUAY;SANTA ISABEL;EL CARMEN DE PIJILI
01;08;53;010853;AZUAY;SANTA ISABEL;ZHAGLLI (SHAGLLI)
01;09;50;010950;AZUAY;SIGSIG;SIGSIG
01;09;51;010951;AZUAY;SIGSIG;CUCHIL (CUTCHIL)
01;09;52;010952;AZUAY;SIGSIG;JIMA (GIMA)
01;09;53;010953;AZUAY;SIGSIG;GUEL
01;09;54;010954;AZUAY;SIGSIG;LUDO
01;09;55;010955;AZUAY;SIGSIG;SAN BARTOLOME
01;09;56;010956;AZUAY;SIGSIG;SAN JOSE DE RARANGA
01;10;50;011050;AZUAY;O¥A;SAN FELIPE DE O¥A
01;10;51;011051;AZUAY;O¥A;SUSUDEL
01;11;50;011150;AZUAY;CHORDELEG;CHORDELEG
01;11;51;011151;AZUAY;CHORDELEG;PRINCIPAL
01;11;52;011152;AZUAY;CHORDELEG;LA UNION
01;11;53;011153;AZUAY;CHORDELEG;LUIS GALARZA ORELLANA (CAB.EN DELEGSOL)
01;11;54;011154;AZUAY;CHORDELEG;SAN MARTIN DE PUZHIO
01;12;50;011250;AZUAY;EL PAN;EL PAN
01;12;53;011253;AZUAY;EL PAN;SAN VICENTE
01;13;50;011350;AZUAY;SEVILLA DE ORO;SEVILLA DE ORO
01;13;51;011351;AZUAY;SEVILLA DE ORO;AMALUZA
01;13;52;011352;AZUAY;SEVILLA DE ORO;PALMAS
01;14;50;011450;AZUAY;GUACHAPALA;GUACHAPALA
01;15;50;011550;AZUAY;CAMILO PONCE ENRIQUEZ;CAMILO PONCE ENRIQUEZ
02;01;50;020150;BOLIVAR;GUARANDA;GUARANDA
02;01;51;020151;BOLIVAR;GUARANDA;FACUNDO VELA
02;01;53;020153;BOLIVAR;GUARANDA;JULIO E. MORENO (CATANAHUAN GRANDE)
02;01;55;020155;BOLIVAR;GUARANDA;SALINAS
02;01;56;020156;BOLIVAR;GUARANDA;SAN LORENZO
02;01;57;020157;BOLIVAR;GUARANDA;SAN SIMON (YACOTO)
02;01;58;020158;BOLIVAR;GUARANDA;SANTAFE (SANTA FE)
02;01;59;020159;BOLIVAR;GUARANDA;SIMIATUG
02;01;60;020160;BOLIVAR;GUARANDA;SAN LUIS DE PAMBIL
02;02;50;020250;BOLIVAR;CHILLANES;CHILLANES
02;02;51;020251;BOLIVAR;CHILLANES;SAN JOSE DEL TAMBO (TAMBOPAMBA)
02;03;50;020350;BOLIVAR;CHIMBO;SAN JOSE DE CHIMBO
02;03;51;020351;BOLIVAR;CHIMBO;ASUNCION (ASANCOTO)
02;03;53;020353;BOLIVAR;CHIMBO;MAGDALENA (CHAPACOTO)
02;03;54;020354;BOLIVAR;CHIMBO;SAN SEBASTIAN
02;03;55;020355;BOLIVAR;CHIMBO;TELIMBELA
02;04;50;020450;BOLIVAR;ECHEANDIA;ECHEANDIA
02;05;50;020550;BOLIVAR;SAN MIGUEL;SAN MIGUEL
02;05;51;020551;BOLIVAR;SAN MIGUEL;BALSAPAMBA
02;05;52;020552;BOLIVAR;SAN MIGUEL;BILOVAN
02;05;53;020553;BOLIVAR;SAN MIGUEL;REGULO DE MORA
02;05;54;020554;BOLIVAR;SAN MIGUEL;SAN PABLO (SAN PABLO DE ATENAS)
02;05;55;020555;BOLIVAR;SAN MIGUEL;SANTIAGO
02;05;56;020556;BOLIVAR;SAN MIGUEL;SAN VICENTE
02;06;50;020650;BOLIVAR;CALUMA;CALUMA
02;07;50;020750;BOLIVAR;LAS NAVES;LAS NAVES
03;01;50;030150;CA¥AR;AZOGUES;AZOGUES
03;01;51;030151;CA¥AR;AZOGUES;COJITAMBO
03;01;53;030153;CA¥AR;AZOGUES;GUAPAN
03;01;54;030154;CA¥AR;AZOGUES;JAVIER LOYOLA (CHUQUIPATA)
03;01;55;030155;CA¥AR;AZOGUES;LUIS CORDERO
03;01;56;030156;CA¥AR;AZOGUES;PINDILIG
03;01;57;030157;CA¥AR;AZOGUES;RIVERA
03;01;58;030158;CA¥AR;AZOGUES;SAN MIGUEL
03;01;60;030160;CA¥AR;AZOGUES;TADAY
03;02;50;030250;CA¥AR;BIBLIAN;BIBLIAN
03;02;51;030251;CA¥AR;BIBLIAN;NAZON (CAB. EN PAMPA DE DOMINGUEZ)
03;02;52;030252;CA¥AR;BIBLIAN;SAN FRANCISCO DE SAGEO
03;02;53;030253;CA¥AR;BIBLIAN;TURUPAMBA
03;02;54;030254;CA¥AR;BIBLIAN;JERUSALEN
03;03;50;030350;CA¥AR;CA¥AR;CA¥AR
03;03;51;030351;CA¥AR;CA¥AR;CHONTAMARCA
03;03;52;030352;CA¥AR;CA¥AR;CHOROCOPTE
03;03;53;030353;CA¥AR;CA¥AR;GENERAL MORALES (SOCARTE)
03;03;54;030354;CA¥AR;CA¥AR;GUALLETURO
03;03;55;030355;CA¥AR;CA¥AR;HONORATO VASQUEZ (TAMBO VIEJO)
03;03;56;030356;CA¥AR;CA¥AR;INGAPIRCA
03;03;57;030357;CA¥AR;CA¥AR;JUNCAL
03;03;58;030358;CA¥AR;CA¥AR;SAN ANTONIO
03;03;61;030361;CA¥AR;CA¥AR;ZHUD
03;03;62;030362;CA¥AR;CA¥AR;VENTURA
